100001336	J. Marion Sims Foundation, Inc.	N
100001337	Sioux Falls Area Community Foundation	N
100001337	SFACF	Y
100001339	May and Stanley Smith Charitable Trust	N
100001340	W. W. Smith Charitable Trust	N
100001341	Richard and Susan Smith Family Foundation	N
100001345	Social Science Research Council	N
100001345	SSRC	Y
100001346	Special Olympics	N
100001347	Spectrum Health Foundation	N
100001348	Spencer Foundation	N
100001349	Stark Community Foundation	N
100001351	The Steele Foundation	N
100001352	RSF Social Finance	N
100001353	Alexander and Margaret Stewart Trust	N
100001355	LSF	Y
100001355	Levi Strauss & Co.	N
100001356	Stuart Foundation	N
100001357	Summer Institute of Linguistics, Inc.	N
100001357	SIL	Y
100001358	Sun Health Foundation, Inc.	N
100001359	Ann and Bill Swindells Charitable Trust	N
100001360	S. MARK TAPER FOUNDATION	N
100001362	Temple-Inland Foundation	N
100001363	University of Alabama Health Services Foundation P.C.	N
100001363	UAHSF	Y
100001364	University of Florida Foundation, Inc.	N
100001365	USMF	Y
100001365	University of Maryland Foundation, Inc.	N
100001366	W.E. Upjohn Institute for Employment Research	N
100001367	The UPS Foundation	N
100001368	V Foundation for Cancer Research	N
100001369	The Valley Foundation	N
100001370	WGValley	Y
100001370	Wayne and Gladys Valley Foundation	N
100001371	The Van Wert Country Foundation, Inc.	N
100001371	VWCF	Y
100001372	G. Unger Vetlesen Foundation	N
100001375	Wallace Genetic Foundation	N
100001377	WCF	Y
100001377	Walther Cancer Foundation	N
100001378	Andy Warhol Foundation for the Visual Arts	N
100001380	WILLIAM K. WARREN FOUNDATION	N
100001381	The Wasserman Foundation	N
100001382	WERF	Y
100001382	Water Environment Research Foundation	N
100001383	Watson-Brown Foundation, Inc.	N
